"route_id","sightings","pres_abs","Latitude","Longitude","Route","Stop"
"69_3_3",2,1,41.64549,-79.92593,"69_3",3
"69_3_4",1,1,41.63963,-79.92813,"69_3",4
"69_3_5",4,1,41.6378,-79.92218,"69_3",5
"69_3_6",0,0,41.65383,-79.91803,"69_3",6
"69_3_7",0,0,41.66236,-79.91848,"69_3",7
"69_3_8",0,0,41.66873,-79.91879,"69_3",8
"69_3_9",0,0,41.67456,-79.91912,"69_3",9
"101_1_1",1,1,41.83668558,-80.4319339,"101_1",1
"101_1_2",2,1,41.83659188,-80.43997499,"101_1",2
"101_1_3",12,1,41.83654075,-80.44776781,"101_1",3
"101_1_4",12,1,41.83664401,-80.45566742,"101_1",4
"101_1_5",13,1,41.82773111,-80.49720956,"101_1",5
"101_1_6",10,1,41.83465918,-80.49723077,"101_1",6
"101_1_7",10,1,41.83923469,-80.49710864,"101_1",7
"101_1_8",15,1,41.84507428,-80.49698249,"101_1",8
"101_2_1",11,1,41.84100176,-80.46672064,"101_2",1
"101_2_2",2,1,41.84639267,-80.468811,"101_2",2
"101_2_3",0,0,41.85236896,-80.46992647,"101_2",3
"101_2_4",7,1,41.85808928,-80.47042058,"101_2",4
"101_2_5",6,1,41.86475742,-80.47087697,"101_2",5
"101_2_6",4,1,41.87005889,-80.47131484,"101_2",6
"101_2_7",12,1,41.87459517,-80.47167828,"101_2",7
"130_NORTH 1-2_1",10,1,41.34047,-80.00098,"130_NORTH 1-2",1
"130_NORTH 1-3_2",4,1,41.33736,-80.00309,"130_NORTH 1-3",2
"130_NORTH 3-4_3",5,1,41.34398,-80.0196,"130_NORTH 3-4",3
"130_NORTH 3-5_4",11,1,41.33968,-80.01939,"130_NORTH 3-5",4
"130_SOUTH_1",0,0,41.31769,-80.02455,"130_SOUTH",1
"130_SOUTH_2",6,1,41.32175,-80.02348,"130_SOUTH",2
"130_SOUTH_3",0,0,41.32191,-80.01884,"130_SOUTH",3
"130_SOUTH_4",2,1,41.32195,-80.01276,"130_SOUTH",4
"130_SOUTH_5",4,1,41.32581,-80.01122,"130_SOUTH",5
"130_SOUTH_6",5,1,41.32837,-80.01115,"130_SOUTH",6
"314_1_1",4,1,41.987,-80.4825,"314_1",1
"314_1_2",11,1,41.9816,-80.4792,"314_1",2
"314_1_3",7,1,41.9776,-80.4758,"314_1",3
"314_1_4",2,1,41.9734,-80.4689,"314_1",4
"314_1_5",3,1,41.9699,-80.4712,"314_1",5
"314_1_6",5,1,41.9687,-80.4784,"314_1",6
"314_1_7",9,1,41.9679,-80.4861,"314_1",7
"314_1_8",0,0,41.9682,-80.4933,"314_1",8
"314_1_9",23,1,41.9747,-80.4933,"314_1",9
